created,text,,,,,,,,,,,,,,,,
12/6/2021 7:42,Philando Castile #BlackLivesMatter,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
,RT @OneInAnARMY: ARMY,,,,,,,,,,,,,,,,
,You #MatchedAMillion–???,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:41,"It's really amazing to see so many of you coming together to support #BlackLivesMatter. ThankÉ?›""",,,,,,,,,,,,,,,,
,RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:15,"If youÉ??re seeing this, all I have to say is God is watching you. So stay positive, keep the faith and remain hopefuÉ?› https://t.co/dFDS7yMXRF",,,,,,,,,,,,,,,,
,RT @mommamia1217: If you find it necessary to conceal your identity when defending your beliefs ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:15,"Take it has a warning that itÉ??s time to rÉ?›""",,,,,,,,,,,,,,,,
,"RT @meiklwagner: Everybody Wants To Rule The World ( Extended) - Tears For Fears, 1985, Mercury Records.",,,,,,,,,,,,,,,,
12/6/2021 7:15,"On YouTube: https://t.co/OpkEIDkNwÉ?›""",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:14,"@seabikeblogÉ?› https://t.co/4ilyBFjXBv""",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:14,"@seabikeblogÉ?› https://t.co/jTeouYbAci""",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:14,"@seabikeblogÉ?› https://t.co/4EOWQLLFPs""",,,,,,,,,,,,,,,,
,RT @fmrwhy: While you're here:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,,,,
,- #BlackLivesMatter,,,,,,,,,,,,,,,,
12/6/2021 7:14,"- Support open&amp;transparent research/science (except for #bropenscience)É?›""",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:13,"@seabikeblogÉ?› https://t.co/hhMD1rvqEn""",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:13,"@seabikeblogÉ?› https://t.co/PQHpkDWiAE""",,,,,,,,,,,,,,,,
12/6/2021 7:13,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yKÉ?›",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:13,"@seabikeblogÉ?› https://t.co/reUvfP0mkA""",,,,,,,,,,,,,,,,
12/6/2021 7:13,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:13,@GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusinessÉ?› https://t.co/CMQPaQdN3F,,,,,,,,,,,,,,,,
12/6/2021 7:13,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
,–??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
,@SeattleDSA ,,,,,,,,,,,,,,,,
12/6/2021 7:12,"@seabikeblogÉ?› https://t.co/qMor6XvoVe""",,,,,,,,,,,,,,,,
